,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
MEDAGE_ACS,0.211338783154278,0.25438475910021136,0.1696790326815899,0.18492121019247737,0.15694935003235969,0.2438982298199578,0.08788779839504876,0.022506307722744423,0.4676123155200284,0.2846152230044146,0.08200488036434718,0.375940604482544,0.31174145605918646,0.11346976125785348,0.26034545722380537,-0.03708526937218132,0.12547937812259963,0.15785005969858165,0.21027473939463495,0.06564410766348236,0.06634324810263931
BLACK_ACS,-0.26623092298296713,0.09382829316759267,0.06190833389062136,0.1872431380062199,-0.12159775965209152,-0.06022624779799832,-0.5679065851464626,0.05950872844895682,0.33992260532976215,-0.5263810958224776,-0.23835835696929553,0.053934509872785905,0.042322090278878066,-0.10868626360038064,0.09231799455086472,0.015925212902629632,0.437536800424347,-0.022929676984338246,0.4615934192543941,-0.3110807268791342,0.3900794584012407
QNATAM_ACS,0.49439825963654443,0.542399591379318,0.574277396569949,-0.2324732053101922,0.8066798787848798,0.6416584552533715,0.4483720299712749,0.5834783292304385,-0.07590335224402386,0.3986111546630403,-0.04586051436690812,0.43689616183507796,-0.5478460350881289,-0.3008952652405304,-0.5331774461074847,0.532085778671093,-0.06327322080671585,0.4424684402416176,-0.06742152347843176,-0.3030127076254383,0.2833200939614219
QASIAN_ACS,-0.08977346783272439,0.20987348266567346,-0.12295099084152322,0.07184627074262182,0.0732033778658121,0.021324390330571957,0.11968848919894605,-0.15012061762774667,0.23078771831067837,-0.00018016594290714422,-0.24187709485966152,0.12154662427310384,-0.16492758045651879,0.1985722580024275,0.21678060989133324,0.32748681022560333,0.22781419330298908,0.16107680537034247,0.5129564145560326,-0.09706466311399198,0.3339427301638995
QHISP_ACS,0.5626481351743786,0.2194322178074252,-0.11894745446801769,0.6337599063651768,0.4609771540927101,0.3890780649692821,0.3773732538997249,0.3964335625983954,0.5162579105442673,0.27531464655110494,0.33428555000261223,0.3282301818174962,0.015489200147251497,0.5596910915198634,0.36924594635866054,-0.1928770242624672,-0.026758974419453962,0.4841073616816262,0.4982532816112084,0.2712408936705834,0.2529619796716285
QAGEDEP_ACS,0.7604063693911728,0.4999769712554773,0.17080812082289684,0.37886005318033045,0.375003547561604,0.6174826225226324,0.5619857613943481,0.3285924615876523,0.5118145969902923,0.3808562945034489,0.2910007113335426,0.5605226903620985,0.5980803248722896,0.26885151316971795,0.14786717924258716,0.053060459684409485,0.18310416474560953,0.43533540914217544,0.13917766570923368,0.23360151570415755,0.11620081622264222
QPUNIT_ACS,0.016457096300660765,0.1687542876179046,-0.5527765851130404,0.13115044240275528,-0.4065411479734096,0.05827546871771433,-0.017346728126523714,0.13415901239368558,-0.18692627369772905,0.13643671070313215,-0.07208080330129879,0.3631583679747077,-0.35476717842784405,-0.043847609284358435,-0.3699080537591787,-0.4299439389309128,-0.3717315727176871,-0.4554672733136914,-0.14443278080591343,-0.19005758082477714,-0.1976153702477524
PRENTER_ACS,0.16755039460758575,0.06128956013146307,0.08909906353486309,-0.129539647795897,0.30367532385288704,-0.08368626216517612,0.22703731082965622,0.06620599694316731,-0.1670698303238175,-0.0790482346177182,0.3669516995127287,-0.03226003435074927,0.16710973937877285,0.10169556757035157,-0.11408520589165391,0.19079068360635051,0.23339804602977424,0.16369114383294736,-0.04031912412523469,0.3998430213788241,0.4573945498052822
QNRRES_ACS,0.33146160080503434,0.4609797595304066,-0.16393145837802456,0.5144983751528749,0.5235402143798192,0.21952111512657524,0.2893170685945853,0.4260886703202643,-0.28961096989643187,0.8591159105426163,0.32990464342319936,0.35462843456039783,0.5406838691568324,0.16125843922566693,0.4408835184905151,-0.14464487707915272,0.32971425563441886,0.28381495537631934,-0.2806934641190252,0.6606190198597631,0.16608415441226893
QFEMALE_ACS,0.7369492026838398,0.5072954653515119,-0.1761815754304481,-0.3947432922409373,-0.2550723008971628,0.857484596969763,0.5431773309253797,0.8122102183596145,0.7520068257859042,-0.020722716951499687,0.4051080418738071,0.41660278486936697,0.5274800703874593,-0.08654151341431124,-0.336357859651871,-0.28193525900062444,-0.3495456730670482,0.6449419343748196,0.4817238076531224,-0.5559876913770132,0.05116557462959159
