GEOID,sovi,rank,state_id
g51069,-2.4155771773295824,108.0,g51
g51071,0.19270229844488068,60.0,g51
g51073,-2.618101085387165,113.0,g51
g51075,-3.5278435644237547,124.0,g51
g51077,2.727148144489277,23.0,g51
g51079,-1.797065668243232,99.0,g51
g51081,2.7330085263315835,22.0,g51
g51083,1.4036609430815594,38.0,g51
g51085,-4.7027467021071665,134.0,g51
g51087,-2.3923195597332554,107.0,g51
g51089,1.1870383379875642,40.0,g51
g51091,3.3435668619518077,12.0,g51
g51093,-2.4973776486106303,110.0,g51
g51095,-2.4321567963522552,109.0,g51
g51097,-0.0030942499286669978,66.0,g51
g51099,-3.5344806082244657,125.0,g51
g51101,-3.8380772036490396,127.0,g51
g51103,1.068961030401764,42.0,g51
g51105,2.9108045928003836,17.0,g51
g51107,-2.5912126564655793,112.0,g51
g51109,-1.6921157757615717,97.0,g51
g51111,3.299410084188602,14.0,g51
g51113,-0.6325911218731026,83.0,g51
g51115,-0.26007350881190733,75.0,g51
g51117,3.3375015803678334,13.0,g51
g51119,0.7040499856346133,51.0,g51
g51121,-1.9285037152455957,102.0,g51
g51125,0.733204930836761,49.0,g51
g51127,-4.32109687420018,133.0,g51
g51131,5.016575922822189,4.0,g51
g51133,1.6746698597489087,33.0,g51
g51135,2.6352438440352373,24.0,g51
g51137,-1.0820275384684666,88.0,g51
g51139,0.4812689015942295,54.0,g51
g51141,2.2425043775105715,27.0,g51
g51143,0.2644469351581762,57.0,g51
g51145,-3.5491860947109273,126.0,g51
g51147,0.8775087916367702,47.0,g51
g51149,-3.068427446906411,116.0,g51
g51153,-0.7644455267843278,84.0,g51
g51155,0.06993067471984171,62.0,g51
g51157,-0.6242548415535334,82.0,g51
g51159,2.739309615581433,21.0,g51
g51161,-3.2729167792984337,120.0,g51
g51163,0.298439761849982,55.0,g51
g51165,-0.26191456161161625,76.0,g51
g51167,3.2514771709649164,15.0,g51
g51169,2.865514667057961,19.0,g51
g51171,0.05147066857720495,64.0,g51
g51173,1.6059175098480796,35.0,g51
g51175,0.9063454311754685,46.0,g51
g51177,-2.8314376245918456,114.0,g51
g51179,-3.9388625933549317,128.0,g51
g51181,0.13638259830025823,61.0,g51
g51183,4.110200528385717,6.0,g51
g51185,2.225447188350932,28.0,g51
g51187,-2.3622798529734594,105.0,g51
g51191,-0.6047840003457491,81.0,g51
g51193,2.3686490007254792,25.0,g51
g51195,3.8596282812088636,10.0,g51
g51197,0.6873231803095861,52.0,g51
g51199,-4.148453541327638,132.0,g51
g51510,0.5937932060267215,53.0,g51
g51515,0.054233265622255666,63.0,g51
g51520,1.0231092940239768,43.0,g51
g51530,-0.009686781661985888,67.0,g51
g51540,0.2844452032076574,56.0,g51
g51550,-3.9477355596557597,129.0,g51
g51570,-0.9753315466520184,87.0,g51
g51580,0.7439221217181311,48.0,g51
g51590,2.056677789868282,30.0,g51
g51595,4.015501298592782,8.0,g51
g51600,-0.4056383410428197,79.0,g51
g51610,-2.3722672803620353,106.0,g51
g51620,1.6207280292606772,34.0,g51
g51630,-0.3033663850241789,77.0,g51
g51640,4.51671934545285,5.0,g51
g51650,-1.9817029057185496,103.0,g51
g51660,2.8358917310888705,20.0,g51
g51670,1.0911790515936577,41.0,g51
g51678,1.9621116196949289,31.0,g51
g51680,-0.14847525558387265,72.0,g51
g51683,4.070376059535206,7.0,g51
g51685,5.49345530157724,3.0,g51
g51690,1.5597075831512648,36.0,g51
g51700,-1.3591870882836443,95.0,g51
g51710,-0.3627906195027636,78.0,g51
g51720,0.25300809560116755,58.0,g51
g51730,2.884615676444054,18.0,g51
g51735,-4.022533998879396,131.0,g51
g51740,-1.2053235213676974,92.0,g51
g51750,-0.06920075286961769,71.0,g51
g51760,1.487040740173391,37.0,g51
g51770,0.9165992367265318,45.0,g51
g51775,-1.8371211657230604,100.0,g51
g51790,-0.7733417833025233,85.0,g51
g51800,-3.315523990038777,121.0,g51
g51810,-3.1548951373675225,118.0,g51
g51820,-0.23380271012404574,74.0,g51
g51830,-1.2302820273284951,93.0,g51
g51840,3.1967162154481006,16.0,g51
