,g51_r,g48_r,g36_r,g06_r,g13_r,g16_r,g17_r,g29_r,g46_r,g23g33g25_r,g51_p,g48_p,g36_p,g06_p,g13_p,g16_p,g17_p,g29_p,g46_p,g23g33g25_p
Region,0.8961882317734636,0.6801871749291045,0.6069099242023621,0.6909778830477715,0.7969309768330548,0.8801973220577871,0.3364923014288864,0.8167521502406692,0.8664857530529173,0.9352720450281428,1.9956798181488273e-48,7.553754002386025e-36,1.7027050958168214e-07,1.9326813268593767e-09,3.396766984335312e-36,3.5187914116871343e-15,0.0005443363642003449,9.383997583003553e-29,5.583510506298644e-21,9.898190428751282e-19
US,0.6753475729123806,0.6151050753624407,0.7877162499055678,0.5313297855978345,0.503328755672319,0.6613107822410148,0.5044189741646924,0.9026907598832163,0.6054274084124832,0.7455909943714824,3.565129145158572e-19,7.861542287875564e-28,3.068728614797493e-14,1.7758373415323516e-05,1.3610972716062094e-11,1.0249557506703056e-06,6.464506159223198e-08,3.412372672225124e-43,7.233125595181861e-08,3.391701765903885e-08
