r0,0,1,2,3,4
0,0.61,0.39,0.0,0.0,0.0
1,0.33,0.33,0.22,0.11,0.0
2,0.06,0.29,0.41,0.12,0.12
3,0.0,0.0,0.33,0.5,0.17
4,0.0,0.0,0.0,0.28,0.72
