,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
MEDAGE_ACS,0.21133878315427843,0.25438475910021074,0.16967903268159018,0.18492121019247693,0.15694935003235905,0.2438982298199579,0.08788779839504944,0.022506307722744076,0.46761231552002835,0.28461522300441433,0.08200488036434762,0.3759406044825431,0.31174145605918696,0.11346976125785473,0.2603454572238054,-0.03708526937218151,0.1254793781225997,0.15785005969858093,0.2102747393946342,0.0656441076634817,0.0663432481026395
BLACK_ACS,-0.26623092298296636,0.0938282931675923,0.06190833389062106,0.18724313800622153,-0.12159775965209194,-0.06022624779799807,-0.5679065851464623,0.05950872844895594,0.3399226053297614,-0.5263810958224775,-0.2383583569692962,0.05393450987278656,0.0423220902788783,-0.1086862636003797,0.092317994550865,0.015925212902629465,0.4375368004243467,-0.022929676984338218,0.4615934192543917,-0.31108072687913413,0.3900794584012408
QNATAM_ACS,0.4943982596365426,0.5423995913793176,0.5742773965699485,-0.23247320531019036,0.8066798787848802,0.6416584552533723,0.44837202997127484,0.5834783292304374,-0.07590335224402395,0.39861115466303987,-0.04586051436690847,0.4368961618350752,-0.5478460350881279,-0.30089526524053006,-0.5331774461074851,0.5320857786710911,-0.0632732208067177,0.4424684402416173,-0.06742152347843118,-0.30301270762543586,0.2833200939614215
QASIAN_ACS,-0.08977346783272241,0.2098734826656743,-0.12295099084152299,0.07184627074262206,0.07320337786581176,0.02132439033057046,0.11968848919894606,-0.15012061762774598,0.23078771831067757,-0.00018016594290785198,-0.24187709485966208,0.12154662427310135,-0.16492758045651884,0.19857225800242795,0.21678060989133327,0.32748681022560266,0.2278141933029892,0.1610768053703424,0.5129564145560325,-0.09706466311399119,0.33394273016389997
QHISP_ACS,0.5626481351743781,0.21943221780742495,-0.11894745446801792,0.633759906365175,0.46097715409270934,0.389078064969282,0.3773732538997244,0.3964335625983953,0.5162579105442673,0.27531464655110655,0.3342855500026123,0.32823018181749675,0.0154892001472519,0.5596910915198637,0.3692459463586603,-0.19287702426246672,-0.026758974419453428,0.4841073616816267,0.4982532816112098,0.271240893670583,0.25296197967162976
QAGEDEP_ACS,0.7604063693911731,0.49997697125547724,0.17080812082289631,0.3788600531803297,0.37500354756160353,0.6174826225226322,0.5619857613943485,0.32859246158765143,0.5118145969902912,0.3808562945034494,0.2910007113335429,0.5605226903620985,0.5980803248722891,0.26885151316971867,0.14786717924258702,0.05306045968440947,0.18310416474561075,0.43533540914217506,0.1391776657092333,0.23360151570415666,0.11620081622264206
QPUNIT_ACS,0.016457096300659266,0.1687542876179036,-0.5527765851130414,0.13115044240275486,-0.4065411479734099,0.058275468717716855,-0.017346728126523075,0.13415901239368494,-0.18692627369773018,0.1364367107031339,-0.07208080330129873,0.3631583679747067,-0.354767178427843,-0.04384760928435777,-0.3699080537591781,-0.4299439389309114,-0.37173157271768686,-0.45546727331369186,-0.1444327808059132,-0.1900575808247781,-0.19761537024775325
PRENTER_ACS,0.16755039460758697,0.06128956013146304,0.08909906353486335,-0.12953964779589758,0.3036753238528873,-0.08368626216517738,0.22703731082965653,0.06620599694316842,-0.16706983032381686,-0.07904823461771988,0.3669516995127283,-0.03226003435074927,0.16710973937877246,0.10169556757035153,-0.11408520589165504,0.19079068360635018,0.23339804602977332,0.16369114383294733,-0.04031912412523393,0.39984302137882677,0.4573945498052829
QNRRES_ACS,0.3314616008050348,0.4609797595304059,-0.16393145837802622,0.514498375152874,0.5235402143798187,0.21952111512657535,0.28931706859458584,0.42608867032026393,-0.2896109698964323,0.8591159105426146,0.32990464342319725,0.35462843456039717,0.5406838691568328,0.16125843922566704,0.44088351849051477,-0.14464487707915266,0.32971425563441836,0.28381495537631923,-0.28069346411902535,0.6606190198597641,0.16608415441226837
QFEMALE_ACS,0.7369492026838385,0.5072954653515124,-0.1761815754304489,-0.3947432922409387,-0.2550723008971625,0.8574845969697629,0.5431773309253811,0.8122102183596136,0.7520068257859038,-0.02072271695150163,0.4051080418738081,0.41660278486936625,0.5274800703874591,-0.08654151341431063,-0.33635785965187087,-0.28193525900062383,-0.3495456730670467,0.6449419343748203,0.4817238076531213,-0.5559876913770131,0.05116557462959062
QFHH_ACS,0.20776047031712463,0.2616337839964758,-0.04636195788718121,0.09642517019599767,-0.0109946422110099,0.2497448525621736,0.08929035679983952,0.4998388185094619,0.008580320735434317,0.22444382953441516,0.45285601883208215,0.5571342761300667,0.2711985403521274,-0.03571381973194937,-0.0737685456281726,-0.19485247422098584,0.22086918040752626,0.21031302704319693,0.05931312009706318,-0.14718128383422138,0.5045648098423654
QUNOCCHU_ACS,0.27974756680658286,-0.2416669669552833,0.5103561810513485,0.7603163072293178,0.3770247644782207,0.31493798938182266,0.13724235319516997,-0.16861253340138965,0.4541534439372518,0.4496743319675828,-0.2685244165082807,-0.12542205642552498,0.1419585812692002,0.5050779564641142,0.2022480516810428,0.421557857889934,0.2819827345003904,0.40142346508874927,0.7326453990887238,-0.40603180757564294,-0.2828655259483346
PERCAP_ALT,0.2791195281402793,0.045363489484138625,-0.07689332113925296,0.2500787580415156,0.14973948844937407,0.23528524103640694,0.37935012854086936,0.23368960515322615,0.2684777924689626,0.08438804386649781,0.1782406906343178,0.09228133990502416,0.12611820985315453,0.15143577057630841,-0.09523002700449296,0.09866754858985093,0.19136394547393504,0.18676510938687255,0.24779219190774288,-0.15315670742152745,0.19837919580252691
QESL_ALT,0.48155504057766263,0.29796081004695,-0.12055761333621962,0.5767969357112707,0.4725038467180297,0.46956365606939576,0.32453491168720694,0.3929063171719566,0.3787827635165564,0.4854301401417847,0.24251391673347494,0.3622735497874061,-0.037824444632398584,0.5856661650565482,0.497420954090375,-0.0368005548843188,-0.059739818895125404,0.4437891205217909,0.3146096506462383,0.304683026529222,0.2087449436019591
QCVLUN,-0.15012310234707643,0.6871652296979774,0.2024432214206961,0.21345821534753495,0.1640173489766656,-0.2188277672488396,-0.10850444130901796,-0.11167696309840665,0.523497120405915,0.2625706773378466,0.1523804599213992,0.7443583694916903,-0.16521884961453182,0.3076087327468131,0.3452628993516363,0.250165588343373,0.40043601397514805,-0.17894792793077757,0.13275565690754867,0.41069978569863397,0.27585792221688177
QPOVTY,0.34339952314365846,0.14813583314771114,0.2537152324199977,0.17161237904073956,0.28862823094866136,0.24705017708035643,0.4529223664600325,0.2810651156320768,0.2704692028805401,0.5062418675495197,0.38587771555039285,0.024630642480282183,0.283198888428742,0.3310060993436712,0.33146787214446544,0.4244047269398016,0.32640445178129307,0.3963013709253397,0.1449900529040043,0.1915508474107134,0.35528638245848787
QMOHO,-0.3672640772365574,-0.19815389990105467,0.0656020694106549,0.03907671132932506,0.03855824197765665,-0.24614998489415815,-0.5850721679975898,-0.20434170680609748,0.24627219849764154,-0.15172663546684695,0.2134302533121296,-0.4667963664176189,-0.01856651428681444,0.2783863161821603,0.0758583363295877,0.3129545306957658,-0.43321490945417146,0.028339476808053557,0.7326004522583323,0.30481445667348545,0.40091149710596236
QED12LES_ALT,0.14006797763333234,0.42156576702325066,0.07757298280938232,0.3239142070166813,0.13606520747981887,0.20709827417160231,0.10860755757851209,0.3943017110045562,0.2307817774127179,0.4601611790582452,0.3377925834047832,0.44783695745463037,0.1905861756959756,0.4876980312776266,0.2720367289802325,0.05841019812695422,0.07944349442822836,-0.05347675683885709,-0.008216341728024545,0.5235311103906432,0.4222993972442278
