,I,II,III,IV,V,VI,VII,VIII,IX,X
All US counties input file versus all counties in a state input file,0.73,0.74,0.67,0.5,0.51,0.62,0.9,0.59,0.48,0.65
All counties in a FEMA region versus counties in a state within the FEMA region input file,0.9,0.58,0.89,0.8,0.36,0.68,0.8,0.85,0.69,0.82
State used for comparison,"Composite of ME, NH, MA",NY,VA,GA,IL,TX,MO,SD,CA,ID
