,B01002_001E,B03002_001E,B03002_004E,B03002_005E,B03002_006E,B03002_012E,B06001_002E,B09020_001E,B01003_001E,B25008_001E,B25002_002E,B25003_003E,B25002_001E,B09020_021E,B01001_026E,B11001_006E,B11001_001E,B25002_003E,B19025_001E,B23022_025E,B23022_049E,B23022_001E,B17021_002E,B17021_001E,B25024_010E,B25024_001E,C24010_038E,C24010_001E,B19055_002E,B19055_001E,B09002_002E,B09002_001E,B19001_017E,B06007_005E,B06007_008E,B06007_001E,B16010_002E,B16010_001E,C24050_002E,C24050_001E,C24050_029E,B08201_002E,B08201_001E,B25064_001E,B25077_001E,GEOID
908,38.5,21762,8808,48,15,486,1599.0,3004,21762,21400,8217,2759,9324,119,11468,1631,8217,1107,391171200,1845,2920,13699,4375,21384,2504,9324,3981,8526,2724,8217,2559,4790,92,190.0,15.0,20163.0,3545,14179,211,8526,1586,866,8217,633,105000.0,13189
909,41.2,6094,1822,8,0,33,409.0,1132,6094,5921,2494,718,2789,65,3100,474,2494,295,113599000,504,788,3730,1281,5925,515,2789,1034,2293,983,2494,753,1320,30,15.0,35.0,5685.0,884,4119,265,2293,412,185,2494,571,83600.0,13201
910,41.3,17919,4440,25,14,486,1043.0,2808,17919,17718,6538,1648,7499,96,9249,961,6538,961,444657900,1302,1822,11295,2666,17701,1292,7499,3760,7590,2508,6538,2933,3738,334,245.0,3.0,16876.0,2453,12271,402,7590,1430,178,6538,768,175700.0,13211
911,39.4,11756,1372,0,20,106,716.0,1591,11756,11633,4342,1075,5137,37,5858,452,4342,795,213481000,1156,1323,7595,2927,11617,2014,5137,2331,4681,1611,4342,1874,2471,39,0.0,13.0,11040.0,2240,7807,59,4681,793,223,4342,586,88900.0,13149
912,39.1,32814,1600,6,1019,1440,1952.0,3643,32814,32597,11239,2268,12419,98,16688,1257,11239,1180,1096601100,1572,3298,21360,2774,32640,833,12419,7233,15763,2812,11239,7003,8693,901,363.0,456.0,30862.0,1911,21125,309,15763,2421,288,11239,856,241400.0,13219
913,33.4,94591,63207,119,725,2187,7135.0,11560,94591,90678,35918,18519,40820,340,50554,8979,35918,4902,1734603700,9169,11300,61467,27982,91443,1671,40820,19219,35927,10304,35918,7669,19733,782,689.0,465.0,87456.0,12022,58045,668,35927,7406,4146,35918,674,101900.0,13095
914,48.4,23554,65,201,15,435,1142.0,5175,23554,23386,10040,2014,16254,98,12021,1256,10040,6214,467537200,1989,2966,14444,4680,23268,2367,16254,4100,8787,4633,10040,2257,3372,67,300.0,57.0,22412.0,3718,17650,205,8787,1359,455,10040,612,163900.0,13111
915,35.5,203185,72900,198,6275,11797,13645.0,17247,203185,202249,68726,16498,76357,190,105600,10758,68726,7631,4998002000,12863,20057,134280,20765,201605,2014,76357,45777,92361,15419,68726,35352,51054,1650,2805.0,3654.0,189540.0,13470,127441,163,92361,15380,1674,68726,1075,158900.0,13151
916,34.4,140699,39909,186,3311,8553,10199.0,14711,140699,138906,51728,16751,58429,459,72111,7335,51728,6701,3487571100,8507,14492,93321,20184,138692,4958,58429,30506,62512,12318,51728,21497,32919,1391,2912.0,1218.0,130500.0,10809,89543,527,62512,10189,2355,51728,803,135800.0,13153
917,38.0,48264,17292,31,505,1101,3405.0,7015,48264,47088,17533,5877,21310,391,25207,3125,17533,3777,869233400,5289,6563,30320,11089,47056,5600,21310,8843,17832,6505,17533,6151,10331,240,560.0,229.0,44859.0,6440,31764,284,17832,3284,1338,17533,600,88100.0,13175
918,30.2,14488,3656,121,32,1722,1275.0,1200,14488,14258,4855,1882,5921,39,7516,787,4855,1066,230276800,1271,1716,9415,2951,14171,2861,5921,2593,5150,1062,4855,2309,3852,0,575.0,12.0,13213.0,1601,8432,24,5150,1074,387,4855,646,102700.0,13183
919,37.1,63979,21018,265,578,2480,4610.0,8596,63979,63003,23073,8653,26759,331,33012,4425,23073,3686,1192093200,6020,7867,40987,13600,62836,2273,26759,12466,24914,7676,23073,8023,13062,382,1019.0,219.0,59369.0,10043,42035,127,24914,4342,1884,23073,769,119200.0,13255
920,40.5,26003,3013,60,235,645,1621.0,4411,26003,24810,9346,2380,12615,69,13587,1227,9346,3269,452167000,2329,2926,16195,4667,24802,3054,12615,5242,10480,3897,9346,3492,5075,177,111.0,187.0,24382.0,3817,17376,201,10480,2193,550,9346,591,104600.0,13257
921,39.2,16312,5846,31,29,2049,907.0,2252,16312,12513,5787,2169,7165,210,6944,979,5787,1378,206797300,4571,2070,11463,4246,12442,1805,7165,2260,4542,2274,5787,1224,2552,23,1160.0,11.0,15405.0,2989,11801,180,4542,1102,635,5787,512,62200.0,13271
922,41.0,27061,7559,41,179,606,1710.0,4287,27061,26591,10213,3386,12178,226,14215,1862,10213,1965,454435500,2476,3444,17259,5449,26482,1827,12178,5154,10227,4050,10213,3153,4827,34,233.0,98.0,25351.0,4088,18127,160,10227,2033,928,10213,621,89900.0,13293
923,39.2,21092,11170,0,45,407,1392.0,2884,21092,19338,7107,1904,9020,179,10387,1314,7107,1913,326951600,3336,2576,13736,4825,19520,2985,9020,3640,7253,2374,7107,2313,4207,88,100.0,31.0,19700.0,3293,14158,385,7253,1629,812,7107,530,80700.0,13303
