,B01002_001E,B03002_001E,B03002_004E,B03002_005E,B03002_006E,B03002_012E,B06001_002E,B09020_001E,B01003_001E,B25008_001E,B25002_002E,B25003_003E,B25002_001E,B09020_021E,B01001_026E,B11001_006E,B11001_001E,B25002_003E,B19025_001E,B23022_025E,B23022_049E,B23022_001E,B17021_002E,B17021_001E,B25024_010E,B25024_001E,C24010_038E,C24010_001E,B19055_002E,B19055_001E,B09002_002E,B09002_001E,B19001_017E,B06007_005E,B06007_008E,B06007_001E,B16010_002E,B16010_001E,C24050_002E,C24050_001E,C24050_029E,B08201_002E,B08201_001E,B25064_001E,B25077_001E,GEOID
0,43.0,12668,75,18,27,196,789.0,2428,12668,12477,4873,1206,6448,142,6609,416,4873,1575,253316700,1011,1060,7598,1678,12486,539,6448,2558,5082,1915,4873,2118,2831,79,96.0,41.0,11879.0,996,8670,265,5082,808,385,4873,520,72400.0,29115
1,39.6,40330,136,378,93,698,2731.0,6933,40330,39653,15606,4638,17994,341,20853,1480,15606,2388,684449900,3029,4506,24414,8187,39661,2903,17994,7639,15891,6150,15606,6677,9287,139,257.0,284.0,37599.0,4297,26965,522,15891,2448,1182,15606,533,101100.0,29091
2,29.7,52964,2324,243,578,1687,3509.0,5666,52964,48770,19765,7379,21529,348,26138,1691,19765,1764,1107271900,2422,4550,36650,8075,48689,2117,21529,11281,22768,4687,19765,8303,10743,172,208.0,271.0,49455.0,2720,30276,463,22768,5006,897,19765,698,137100.0,29101
3,39.1,35507,234,126,198,707,2317.0,5546,35507,35160,14169,4073,15769,165,17981,1770,14169,1600,697375900,2479,3411,22309,6478,34995,3438,15769,7111,15171,4810,14169,5413,7972,186,0.0,183.0,33190.0,4595,23836,491,15171,2670,889,14169,599,92300.0,29105
4,43.1,9140,41,44,42,83,562.0,1647,9140,9044,3696,759,4590,53,4572,376,3696,894,194379300,562,775,5581,1286,9023,541,4590,1838,3937,1461,3696,1402,1925,32,25.0,42.0,8578.0,1027,6274,252,3937,663,111,3696,521,118600.0,29125
5,34.0,44825,882,292,1304,930,2564.0,6344,44825,41623,16615,6069,19562,449,21474,1707,16615,2947,876646600,3558,3757,30003,7830,41645,2171,19562,8869,19245,5238,16615,6490,8822,265,102.0,701.0,42261.0,3679,27306,276,19245,3649,1189,16615,598,110400.0,29161
6,38.5,89567,5196,353,2327,4495,5619.0,10156,89567,88722,36104,12382,39099,294,45506,3650,36104,2995,3093604200,3457,5963,60228,6498,88663,361,39099,22660,47491,8105,36104,15272,20389,2027,873.0,1589.0,83948.0,3698,60395,359,47491,6586,1524,36104,853,185600.0,29165
7,38.7,65246,3035,200,126,797,3816.0,9393,65246,57350,24615,7472,28478,773,30190,2715,24615,3863,1213964100,9155,5343,43454,10483,57130,4705,28478,12386,25108,8414,24615,8972,12121,312,105.0,185.0,61430.0,9470,45271,355,25108,5682,1656,24615,585,100000.0,29187
8,34.0,318527,155495,623,8461,11005,21438.0,35390,318527,307431,139840,76083,175855,1860,164836,26103,139840,36015,6954897600,29413,31395,222745,83505,308767,466,175855,73934,145620,35986,139840,22518,56439,2130,4142.0,9566.0,297089.0,37468,212243,450,145620,35746,29942,139840,711,121700.0,29510
9,41.9,17205,101,34,37,294,973.0,2772,17205,16956,6698,1420,7285,200,8775,446,6698,587,441771300,733,987,10902,1250,16701,772,7285,4328,8998,2201,6698,2800,3453,103,34.0,54.0,16232.0,1159,11777,276,8998,1593,282,6698,688,130300.0,29003
10,40.6,42792,2343,111,271,678,2743.0,7166,42792,41788,17067,5640,19711,481,22110,2244,17067,2644,810700200,3277,4130,26803,8546,41537,2451,19711,9236,17964,6509,17067,5285,8302,250,235.0,38.0,40049.0,6473,29332,194,17964,3531,1419,17067,566,88300.0,29023
11,41.8,9279,169,6,36,119,533.0,1759,9279,9179,3659,754,4650,56,4728,309,3659,991,221587400,494,784,5638,1193,9105,401,4650,1913,4192,1430,3659,1527,1939,46,34.0,104.0,8746.0,1028,6420,416,4192,724,183,3659,539,79700.0,29033
12,40.3,8341,33,27,5,90,593.0,1444,8341,8238,3078,703,4196,34,4186,190,3078,1118,165222800,511,698,4948,1171,8200,586,4196,1662,3530,1072,3078,1546,1864,54,12.0,181.0,7748.0,894,5534,472,3530,667,204,3078,555,107900.0,29061
13,46.1,4840,34,41,19,12,259.0,1041,4840,4723,2233,552,2807,91,2438,211,2233,574,115485300,218,244,2974,686,4682,229,2807,1127,2369,810,2233,655,840,26,0.0,15.0,4581.0,374,3564,355,2369,485,105,2233,509,78900.0,29087
14,39.3,28703,1646,118,192,396,1962.0,4558,28703,27059,11180,3396,12835,493,14894,1458,11180,1655,628013100,1843,2186,18037,4207,27205,649,12835,6628,13037,3820,11180,4180,6105,210,7.0,71.0,26741.0,3108,19184,347,13037,2525,822,11180,553,102000.0,29127
15,39.2,13857,109,1,9,85,870.0,2095,13857,13658,5224,857,6544,96,6636,390,5224,1320,304356300,752,974,8738,1357,13686,666,6544,2909,6676,1726,5224,2556,3290,29,35.0,4.0,12987.0,1164,9111,341,6676,824,211,5224,480,122000.0,29151
16,41.9,14070,49,83,24,155,843.0,2614,14070,13959,5454,1546,6599,69,7179,621,5454,1145,210104100,1140,1553,8683,3797,13961,1414,6599,2576,5269,2345,5454,1774,2670,21,32.0,29.0,13227.0,2500,9685,170,5269,1247,254,5454,536,72500.0,29181
17,39.7,32440,540,26,72,943,2226.0,4894,32440,32097,12648,2776,14696,69,16176,1136,12648,2048,796778200,1585,2392,20387,4608,32043,2189,14696,7222,15011,4546,12648,5088,7202,321,287.0,77.0,30214.0,3642,21974,292,15011,2507,671,12648,700,153100.0,29219
18,40.1,25120,524,120,58,264,1607.0,3415,25120,24056,9221,2205,10953,162,12345,1020,9221,1732,427289500,3284,2795,16302,5679,24012,3753,10953,4295,8842,3485,9221,3632,5192,91,78.0,58.0,23513.0,5069,17063,415,8842,1922,699,9221,505,75400.0,29221
19,36.7,77474,467,290,408,1965,5670.0,9657,77474,76908,29360,7531,31605,296,39662,2591,29360,2245,1936182100,3177,6396,48972,7729,76593,1688,31605,17587,36952,8386,29360,15421,19301,694,441.0,270.0,71804.0,4294,50598,244,36952,6158,859,29360,749,145000.0,29043
20,40.2,12878,1126,54,48,227,563.0,1819,12878,9557,3823,1283,4318,164,4758,256,3823,495,198533800,3574,675,9160,787,9514,569,4318,2115,4499,1368,3823,1641,1976,37,71.0,30.0,12315.0,1590,9567,184,4499,1061,335,3823,488,111300.0,29063
21,42.6,8901,63,6,14,144,669.0,1865,8901,8658,3620,933,4416,135,4443,208,3620,796,171333200,475,704,5088,1224,8705,444,4416,1742,3816,1487,3620,1525,2014,34,22.0,55.0,8232.0,886,6096,458,3816,670,188,3620,559,73000.0,29081
22,40.3,33278,865,62,43,740,2067.0,5438,33278,32538,13250,3255,14693,382,16915,1430,13250,1443,787149500,1739,2555,20835,3268,32546,1227,14693,7531,16126,4325,13250,5562,7274,80,165.0,6.0,31211.0,2923,22527,461,16126,2646,612,13250,626,119600.0,29107
23,29.1,25542,492,83,404,540,1375.0,3293,25542,22108,9597,3660,11261,206,13408,864,9597,1664,453226500,1618,2216,17902,5477,22188,864,11261,5359,11015,2877,9597,3197,4290,131,51.0,311.0,24167.0,1753,13918,322,11015,2082,884,9597,531,99300.0,29001
24,39.4,4843,7,0,0,47,394.0,875,4843,4733,1967,411,2367,89,2453,133,1967,400,101982700,184,396,2787,882,4676,134,2367,979,2210,674,1967,1039,1218,68,0.0,155.0,4449.0,706,3112,243,2210,395,127,1967,414,74400.0,29199
25,40.2,6667,22,13,8,1212,410.0,1151,6667,6549,2628,859,3363,63,3272,289,2628,735,112341000,468,583,4060,1152,6530,667,3363,1272,2866,1027,2628,774,1400,27,627.0,4.0,6257.0,852,4559,272,2866,456,199,2628,530,70800.0,29211
26,43.1,7082,45,18,17,35,485.0,1265,7082,6980,2781,642,3472,72,3535,201,2781,691,130949800,450,634,4293,1152,6934,553,3472,1420,3117,1133,2781,1151,1473,16,23.0,6.0,6597.0,739,4931,218,3117,394,133,2781,454,67800.0,29045
27,35.1,116493,2178,1865,965,7891,8905.0,15427,116493,114142,45005,15689,50618,572,59771,6109,45005,5613,2362985000,6859,10468,74236,21501,113476,3136,50618,25231,53310,13771,45005,16703,25934,610,2882.0,473.0,107588.0,12668,74328,841,53310,9840,3323,45005,640,97200.0,29097
28,38.7,10203,306,27,3,157,618.0,1671,10203,9430,3882,1009,4542,163,5088,330,3882,660,193422900,554,704,6384,1440,9448,800,4542,2282,4687,1380,3882,1720,2158,6,134.0,107.0,9585.0,881,6606,365,4687,1043,241,3882,489,80100.0,29111
29,36.5,22970,193,589,230,2542,1823.0,2897,22970,22812,8257,2578,9919,93,11444,1044,8257,1662,381833400,1724,2259,14456,4966,22820,2243,9919,4417,9671,2669,8257,4056,5747,87,1030.0,202.0,21147.0,3330,14591,292,9671,1534,514,8257,563,86100.0,29119
30,39.5,18986,109,21,71,331,1230.0,2999,18986,18662,7581,1733,8556,208,9413,644,7581,975,436416200,957,1307,11889,2320,18598,780,8556,4272,9179,2415,7581,3272,4256,175,157.0,77.0,17756.0,2287,12712,460,9179,1478,360,7581,637,122400.0,29157
31,38.1,31035,248,41,130,593,1958.0,5131,31035,29889,11825,3600,13242,232,15702,931,11825,1417,583034700,2034,2867,19209,6695,29899,1890,13242,5809,12412,4190,11825,5325,6752,104,97.0,338.0,29077.0,3424,19867,489,12412,2479,493,11825,631,110900.0,29167
32,40.0,23422,311,38,91,431,1514.0,3510,23422,23050,9058,2043,9989,203,11754,832,9058,931,563776000,1610,2218,14799,2402,22952,673,9989,4910,10445,3065,9058,3784,5043,102,14.0,73.0,21908.0,2056,15850,221,10445,1842,556,9058,715,119000.0,29177
33,35.2,16157,33,3426,47,382,1230.0,2063,16157,15672,6130,1971,7262,85,7940,641,6130,1132,340420400,1007,1195,10258,2876,15733,856,7262,3514,7533,1831,6130,2608,3709,61,12.0,115.0,14927.0,941,10096,596,7533,1263,448,6130,517,116100.0,30041
34,41.5,5811,0,1166,25,96,392.0,1010,5811,5599,2196,826,2875,74,2935,219,2196,679,120787800,333,464,3467,1060,5693,355,2875,1216,2569,775,2196,927,1222,58,10.0,7.0,5419.0,370,3852,661,2569,516,133,2196,432,111100.0,30015
35,49.2,19594,54,332,95,467,885.0,4054,19594,19291,8971,2091,11356,100,9653,655,8971,2385,422930300,1708,2007,12312,3956,19324,1849,11356,3680,7563,3603,8971,2798,3546,148,21.0,157.0,18709.0,1908,14696,777,7563,1421,337,8971,530,164900.0,30053
36,45.9,15655,24,85,6,340,743.0,2672,15655,15415,6539,1729,9329,57,7902,516,6539,2790,355735700,907,1267,10274,1701,15473,1060,9329,3606,7504,2143,6539,2182,2847,132,53.0,71.0,14912.0,929,11770,703,7504,1216,333,6539,649,206300.0,30067
37,51.9,698,0,0,10,59,24.0,174,698,698,336,108,444,0,318,9,336,108,17040100,50,56,443,79,698,99,444,129,345,126,336,80,85,3,25.0,0.0,674.0,73,541,148,345,46,23,336,645,64700.0,30103
38,35.0,6514,0,3163,5,119,569.0,897,6514,6368,2293,810,2839,41,3239,374,2293,546,105318700,548,737,3822,1740,6425,401,2839,1131,2448,753,2293,966,1657,26,4.0,13.0,5945.0,557,3980,497,2448,425,263,2293,455,74900.0,30005
39,43.1,3661,0,0,0,85,252.0,625,3661,3554,1267,313,2052,34,1714,46,1267,785,69375600,135,230,2167,422,3627,209,2052,718,1751,431,1267,732,870,10,0.0,4.0,3409.0,232,2509,492,1751,314,25,1267,638,189200.0,30097
40,45.6,6082,5,112,11,82,320.0,1263,6082,5837,2389,550,2903,46,3077,121,2389,514,130259800,355,494,3601,824,6021,358,2903,1219,2672,926,2389,1116,1380,35,12.0,59.0,5762.0,468,4276,504,2672,397,131,2389,548,140000.0,30099
41,56.3,1193,0,33,0,6,52.0,348,1193,1169,524,76,653,17,570,27,524,129,22069200,91,119,694,225,1166,74,653,236,471,265,524,118,164,4,0.0,11.0,1141.0,152,935,164,471,82,14,524,525,76500.0,30079
42,31.4,13422,1,8586,50,265,1236.0,1419,13422,13044,4245,1702,5342,47,6892,785,4245,1097,217946800,1002,1070,8152,3834,13180,982,5342,2698,5320,1246,4245,1880,2926,66,32.0,143.0,12186.0,1445,7804,699,5320,1470,404,4245,449,81400.0,30035
43,40.8,3051,0,5,0,11,258.0,515,3051,3002,1231,313,1474,32,1545,100,1231,243,82382800,59,102,1834,262,2990,295,1474,761,1699,414,1231,559,701,30,0.0,9.0,2793.0,175,2071,437,1699,271,42,1231,473,101200.0,30025
44,50.2,769,0,0,0,9,45.0,177,769,744,324,57,481,0,391,21,324,157,15225800,32,56,434,176,759,85,481,145,318,128,324,129,182,2,0.0,0.0,724.0,68,528,66,318,28,4,324,642,92800.0,30037
45,41.7,34164,71,533,201,1265,1856.0,5581,34164,33056,14935,5085,16723,289,16943,1528,14935,1788,756537100,2075,2757,22242,5695,33146,1028,16723,7420,16171,5105,14935,4501,6630,190,62.0,272.0,32308.0,2207,23385,794,16171,3637,1390,14935,564,127400.0,30093
46,46.0,9096,15,39,14,220,495.0,1536,9096,8916,3758,827,4768,62,4406,186,3758,1010,247473600,326,731,5782,851,9013,632,4768,1913,4500,1332,3758,1508,1864,79,45.0,13.0,8601.0,526,6564,998,4500,552,46,3758,698,180900.0,30095
47,46.8,11360,73,90,51,220,529.0,1651,11360,11070,4549,690,5018,69,5513,210,4549,469,335105300,650,893,7574,869,11135,564,5018,2466,5384,1421,4549,1994,2387,157,7.0,28.0,10831.0,500,8152,392,5384,930,120,4549,651,230200.0,30043
48,51.8,3083,4,17,10,48,116.0,777,3083,3028,1487,389,2778,27,1511,89,1487,1291,80350000,168,222,1855,413,3030,474,2778,654,1389,671,1487,263,422,13,12.0,6.0,2967.0,247,2426,260,1389,295,50,1487,613,183600.0,30039
49,48.5,2142,0,9,0,9,131.0,532,2142,2005,795,156,1307,8,1102,25,795,512,33683300,89,234,1308,268,2118,165,1307,318,751,407,795,304,352,0,0.0,105.0,2011.0,230,1502,269,751,113,90,795,620,82700.0,30107
50,50.0,7688,15,14,26,191,344.0,1624,7688,7415,3726,1035,6800,53,3713,125,3726,3074,255904100,308,399,4927,817,7611,502,6800,1809,4001,1243,3726,1092,1237,124,17.0,14.0,7344.0,264,5914,861,4001,693,90,3726,687,238000.0,30057
51,48.2,3447,6,43,1,22,191.0,760,3447,3340,1606,454,2114,66,1705,104,1606,508,101108000,67,163,2013,336,3367,135,2114,779,1758,584,1606,524,708,40,4.0,7.0,3256.0,208,2503,341,1758,238,88,1606,514,98000.0,30091
52,51.5,1276,0,17,0,5,43.0,326,1276,1256,545,130,828,17,653,39,545,283,27461800,37,113,776,177,1255,217,828,318,707,232,545,168,193,5,2.0,0.0,1233.0,72,989,379,707,72,10,545,422,76500.0,30011
53,30.1,12872,1,7961,94,552,1343.0,1340,12872,12668,3532,1227,4700,60,6432,647,3532,1168,172866800,988,1368,7639,3379,12623,856,4700,2275,4768,1045,3532,1620,2682,27,35.0,73.0,11529.0,1180,7252,554,4768,1296,161,3532,576,90400.0,30003
54,41.0,28794,60,6339,63,1028,2053.0,4927,28794,28055,12023,3787,16484,137,14688,1454,12023,4461,598440000,1706,2824,17529,6578,28351,1902,16484,5563,11450,4241,12023,3788,6002,102,141.0,221.0,26741.0,1932,19188,586,11450,2583,640,12023,615,216200.0,30047
55,40.7,63432,254,1270,275,1611,3843.0,8841,63432,61525,26598,7190,30062,284,31994,1940,26598,3464,1732555900,2620,3500,41839,6001,61767,3387,30062,16426,32618,7843,26598,10118,13201,533,271.0,276.0,59589.0,2254,43620,799,32618,5074,1393,26598,695,200600.0,30049
56,42.9,6147,30,882,14,88,407.0,1172,6147,5845,2303,737,2674,114,3222,136,2303,371,131112900,345,529,3652,1102,6079,295,2674,1326,2708,783,2303,1071,1317,44,22.0,74.0,5740.0,521,4208,549,2708,560,172,2303,476,92900.0,30073
57,38.5,148191,853,5684,1176,6991,9947.0,20924,148191,144801,60706,18460,63822,726,75752,6424,60706,3116,4013948500,5782,9478,96156,17301,144871,7255,63822,36858,77203,16983,60706,21923,31228,1649,588.0,1210.0,138244.0,7623,100066,2547,77203,13650,3191,60706,705,178100.0,30111
58,34.3,109402,453,2735,1205,2911,5965.0,12536,109402,106846,45565,18382,50014,369,54284,3986,45565,4449,2739096600,5844,7417,77548,17954,107492,5479,50014,27844,57234,10948,45565,14623,20279,1133,241.0,933.0,103437.0,3986,70684,1647,57234,11929,2605,45565,730,238100.0,30063
59,42.7,45882,484,370,186,896,2720.0,8411,45882,45218,19010,5113,23558,429,22970,1694,19010,4548,1034915200,2147,2699,28467,5790,45224,1513,23558,10595,22252,6871,19010,6770,9411,280,290.0,332.0,43162.0,3948,32308,1314,22252,3879,1153,19010,638,135500.0,55005
60,47.2,16580,39,2728,107,267,983.0,3439,16580,16239,7720,1878,15859,136,8203,959,7720,8139,399026100,1078,1185,10143,3169,16246,866,15859,3611,7289,3063,7720,1725,3095,95,30.0,84.0,15597.0,1336,12084,299,7289,1338,488,7720,575,163300.0,55113
61,44.4,19064,91,34,38,761,1055.0,3669,19064,18802,7925,1804,10585,182,9571,510,7925,2660,489465800,714,1139,11523,1922,18808,533,10585,4546,9492,2899,7925,3077,4018,163,254.0,282.0,18009.0,1649,13477,528,9492,1692,440,7925,569,138500.0,55047
62,48.8,14141,37,66,76,155,608.0,2986,14141,13907,6890,1460,10799,173,6965,457,6890,3909,349605300,730,902,8816,1961,13841,1126,10799,3146,6834,2494,6890,1780,2452,83,49.0,50.0,13533.0,1126,10689,379,6834,1134,357,6890,569,113600.0,55099
63,47.2,15366,46,57,55,394,786.0,3204,15366,15155,6598,1393,9876,66,7560,468,6598,3278,354488900,958,1006,9466,2101,15188,1100,9876,3369,6956,2680,6598,1995,2706,44,67.0,67.0,14580.0,1562,11320,349,6956,1331,248,6598,696,145100.0,55077
64,45.8,41704,98,180,171,540,2010.0,8264,41704,40530,18855,4233,30259,512,20990,1303,18855,11404,990278300,2404,3089,26188,5289,40521,4640,30259,8996,19023,7294,18855,5623,7780,241,287.0,194.0,39694.0,3210,30048,593,19023,3336,958,18855,568,108100.0,55075
65,33.7,946584,247324,4540,31959,125377,69519.0,109764,946584,925289,379711,182547,417504,5228,489562,64616,379711,37793,22299921700,65416,79734,627045,193070,925495,2348,417504,223494,440135,96156,379711,111394,209795,8663,41126.0,19541.0,877065.0,87305,604095,2424,440135,84895,53292,379711,786,162900.0,55079
66,39.0,195024,20465,522,2389,22474,12779.0,25836,195024,189673,75775,23154,82069,957,98515,8823,75775,6294,5227387500,12155,15623,126652,23892,189952,981,82069,44451,91377,22757,75775,29754,43427,2282,4922.0,1444.0,182245.0,15699,130631,1208,91377,14801,5703,75775,751,174600.0,55101
67,33.6,43788,222,147,1021,635,2351.0,5430,43788,40448,16348,5256,17938,282,21792,1373,16348,1590,939531300,2020,3069,30405,6586,40371,1912,17938,10435,22196,4589,16348,6015,8253,190,158.0,464.0,41437.0,2268,26051,904,22196,4120,676,16348,680,157800.0,55033
68,44.0,9361,79,1177,13,144,503.0,1920,9361,9038,3853,865,8987,119,4580,412,3853,5134,189049700,736,850,5651,1457,9116,855,8987,1807,3769,1519,3853,1264,1783,38,25.0,22.0,8858.0,875,6487,258,3769,921,203,3853,452,121600.0,55041
69,36.5,51055,569,81,257,637,2887.0,7962,51055,47160,19377,5151,21568,669,24544,1430,19377,2191,1060832300,2742,2722,33536,7341,47034,1493,21568,11999,25817,6001,19377,7732,9997,236,220.0,398.0,48168.0,3231,31446,2199,25817,4349,830,19377,627,122900.0,55043
70,46.1,14670,91,58,54,172,808.0,2977,14670,14366,6542,1483,8849,126,7359,510,6542,2307,314990600,765,1029,8881,2530,14345,996,8849,3114,6554,2606,6542,2205,2997,54,46.0,103.0,13862.0,1473,10484,450,6554,953,404,6542,609,106300.0,55107
71,40.2,115377,1568,335,5351,6300,7039.0,16877,115377,111980,46211,12805,50649,804,57395,3762,46211,4438,2947813600,5640,6452,74582,9805,111808,1395,50649,28285,58941,13515,46211,20164,25683,818,2056.0,2224.0,108338.0,7639,78807,1207,58941,10325,3075,46211,653,153800.0,55117
72,32.6,4274,35,3264,146,105,385.0,570,4274,4215,1284,366,2359,3,2149,236,1284,1075,59024400,457,512,2561,978,4211,258,2359,718,1342,579,1284,411,979,0,4.0,66.0,3889.0,368,2514,105,1342,417,162,1284,517,86900.0,55078
73,37.3,176777,1856,2535,5373,6337,11631.0,21022,176777,173633,69396,18990,73240,828,88678,5785,69396,3844,4894698000,6871,10308,116944,14997,173810,1005,73240,45059,94002,16963,69396,32625,42289,1924,2480.0,2397.0,165146.0,8386,116892,1316,94002,13910,3355,69396,700,156600.0,55087
74,44.0,13544,36,69,11,241,768.0,2463,13544,13360,5706,1302,6662,85,6659,436,5706,956,320651900,561,831,8489,1517,13325,582,6662,3161,6913,1929,5706,2124,2869,76,127.0,48.0,12776.0,1029,9601,750,6913,1008,240,5706,649,139300.0,55011
75,41.3,56596,728,268,198,1443,3383.0,8317,56596,54985,22990,5655,26108,433,27799,2040,22990,3118,1579982300,2954,2726,36755,4952,54837,1078,26108,13996,29372,6921,22990,8890,12174,507,375.0,366.0,53213.0,3385,39519,1111,29372,4664,924,22990,710,178400.0,55021
76,35.3,114718,1775,445,4785,1755,6673.0,15398,114718,109501,46058,15934,48381,910,58653,3815,46058,2323,2930192100,4872,6025,78055,15051,109597,2280,48381,30906,61689,12489,46058,17149,22719,1054,419.0,2168.0,108045.0,4592,72448,786,61689,11114,3226,46058,708,153600.0,55063
77,36.2,248526,4978,5644,6820,17930,17126.0,28932,248526,241192,98171,32380,104613,1477,125432,10421,98171,6442,6783144700,12333,15512,164710,26343,240769,1562,104613,61740,127488,24009,98171,41163,57136,3059,6878.0,2586.0,231400.0,15886,162235,2089,127488,21111,5134,98171,682,159000.0,55009
78,39.2,134041,668,401,7226,2966,8687.0,19150,134041,132318,52893,13847,57688,893,66747,4071,52893,4795,3608866300,5958,7475,85988,13693,132118,2069,57688,32735,69248,15219,52893,24202,30706,1339,881.0,2930.0,125354.0,9746,90647,2289,69248,9731,2670,52893,685,142600.0,55073
79,48.2,36029,159,487,180,396,1669.0,7863,36029,35230,16226,3015,30083,350,17877,1073,16226,13857,932860200,1947,2482,22483,3800,35176,2209,30083,8013,16908,6393,16226,4560,6110,339,69.0,127.0,34360.0,2059,27098,382,16908,3165,771,16226,682,166800.0,55085
80,40.9,28853,76,47,99,1615,1921.0,4624,28853,28346,11673,2812,12642,360,14239,971,11673,969,690197700,1149,1517,18007,3382,28272,838,12642,6930,14836,3603,11673,4898,6553,156,742.0,174.0,26932.0,2568,19925,1023,14836,2168,536,11673,607,133300.0,55121
81,42.2,389740,4760,445,10085,16200,21204.0,56269,389740,384667,152995,35626,160639,2054,198498,11137,152995,7644,14405286800,13263,23954,252740,19145,384673,804,160639,98074,205817,43369,152995,73989,88963,11076,3316.0,3480.0,368536.0,11838,269105,1008,205817,24622,6399,152995,906,257700.0,55133
82,40.6,88741,2403,287,488,3532,4902.0,13209,88741,83026,33766,8638,37004,1019,42099,2830,33766,3238,2139561300,6047,4919,58566,6909,82941,1607,37004,20385,43967,10008,33766,13666,18131,504,996.0,228.0,83839.0,7932,62354,1986,43967,7123,1417,33766,736,156000.0,55027
83,50.9,21489,184,1778,84,277,905.0,5623,21489,21190,10668,2448,24801,110,10591,845,10668,14133,583383000,1141,1418,12660,2973,21170,1397,24801,4469,9316,4686,10668,1939,3374,233,75.0,42.0,20584.0,1279,16578,125,9316,1953,441,10668,674,190800.0,55125
84,44.5,16677,328,48,56,157,930.0,3107,16677,15899,6841,1667,8840,208,8026,613,6841,1999,359300100,1046,922,10428,1959,15861,1365,8840,3772,7845,2521,6841,2381,3287,98,33.0,53.0,15747.0,1200,11852,645,7845,1608,390,6841,569,117900.0,55023
85,43.3,81266,387,427,1919,2530,4449.0,13868,81266,80052,34224,8196,37143,838,41006,2280,34224,2919,2097931700,3362,4598,51737,7260,80019,1104,37143,19306,41247,10927,34224,13251,16760,641,535.0,845.0,76817.0,5566,56963,1556,41247,7343,2005,34224,583,126400.0,55071
86,39.9,61953,316,825,358,2618,3910.0,9421,61953,61100,25461,7343,29666,466,31011,2154,25461,4205,1596233700,2172,2966,39534,5928,61049,2273,29666,15975,32916,7369,25461,9998,13652,474,926.0,411.0,58043.0,4525,42628,1303,32916,6005,1268,25461,735,168500.0,55111
87,49.3,15528,93,772,60,205,769.0,3657,15528,15293,7361,1514,14829,95,7593,640,7361,7468,364294500,994,1122,9282,2843,15303,1297,14829,3161,6476,2987,7361,1755,2725,106,50.0,39.0,14759.0,1242,11688,217,6476,1390,285,7361,640,153600.0,55013
88,40.2,62362,904,250,760,782,3969.0,9080,62362,60490,24436,6628,27147,380,30145,2138,24436,2711,1496121000,3129,3568,40456,6614,60307,1421,27147,14693,31073,7720,24436,10018,13331,383,189.0,504.0,58393.0,4075,43067,1193,31073,5581,1286,24436,680,149000.0,55017
89,49.6,27872,140,135,130,671,1251.0,6338,27872,27486,13695,3485,23689,214,14107,715,13695,9994,870436900,927,1266,17368,3120,27338,1371,23689,7131,14406,4951,13695,3248,4409,361,251.0,190.0,26621.0,1272,21349,520,14406,3129,695,13695,679,192300.0,55029
90,40.3,101577,1003,373,976,4373,5908.0,15327,101577,98083,41057,11724,43880,1017,51687,3592,41057,2823,2657793700,4166,5836,65958,9469,98273,1742,43880,25540,52915,12726,41057,16465,21621,859,1414.0,543.0,95669.0,7447,69468,1743,52915,9317,2464,41057,674,145800.0,55039
91,41.6,20436,474,1020,97,545,1258.0,3293,20436,18963,8167,2086,9693,114,9522,804,8167,1526,437775900,1967,1253,13022,3121,18963,1196,9693,4437,9150,2939,8167,2811,4103,108,109.0,249.0,19178.0,1999,14255,884,9150,1851,548,8167,605,124600.0,55053
92,43.8,7458,31,7,23,77,464.0,1358,7458,7318,3017,721,3558,94,3691,163,3017,541,177119000,274,400,4612,769,7320,215,3558,1824,3755,1015,3017,1353,1635,56,29.0,61.0,6994.0,534,5238,432,3755,586,187,3017,591,142100.0,55091
93,43.0,86429,1136,222,1521,2000,4418.0,13309,86429,85330,34093,7285,36252,211,44150,2522,34093,2159,3598424900,2674,5125,55314,3926,85368,120,36252,21568,45077,10019,34093,16113,19390,3523,374.0,969.0,82011.0,2405,59492,621,45077,6008,1126,34093,819,255600.0,55089
94,42.9,18020,73,71,59,366,1126.0,3310,18020,17723,7391,1864,8856,135,9017,559,7391,1465,407408500,818,1066,11028,1975,17714,716,8856,4143,8835,2530,7391,2979,3834,89,137.0,52.0,16894.0,1531,12463,844,8835,1615,423,7391,603,122900.0,55103
95,38.3,160356,6176,360,1652,12092,10344.0,21865,160356,157248,63006,17564,68369,948,81607,7610,63006,5363,3832216900,9389,11465,103194,21214,156574,1708,68369,36826,75146,18701,63006,23686,35780,1012,4354.0,717.0,150012.0,13549,106516,1246,75146,12654,3423,63006,739,136700.0,55105
96,46.3,24565,459,113,123,1366,1194.0,4956,24565,23138,9963,1919,14849,200,11642,704,9963,4886,542359600,1980,1597,15461,2857,23262,1388,14849,5043,10710,4052,9963,3353,4349,97,454.0,186.0,23371.0,2460,18111,711,10710,2008,535,9963,635,138300.0,55137
97,49.3,15078,70,1559,65,167,667.0,3153,15078,14932,6931,1262,13005,60,7340,453,6931,6074,386868200,982,1031,9489,2031,14864,1037,13005,3333,6804,2748,6931,1887,2573,113,41.0,59.0,14411.0,790,11447,357,6804,1298,366,6931,529,158200.0,55007
98,41.0,16836,80,37,16,533,1132.0,2626,16836,16704,6598,1373,7218,71,8215,435,6598,620,383510200,756,831,10431,1916,16638,417,7218,4150,8754,2053,6598,3053,4041,94,315.0,107.0,15704.0,1175,11248,1093,8754,1197,248,6598,581,121800.0,55065
